faithfulness,context_precision,answer_relevancy,retriever,tiempo_promedio
0.8,0.747,0.884,embeddings,0.007828521728515624
0.821,0.761,0.875,embeddings,0.007828521728515624
0.754,0.738,0.914,embeddings,0.007828521728515624
0.893,0.81,0.892,embeddings,0.007828521728515624
0.723,0.69,0.879,embeddings,0.007828521728515624
0.712,0.791,0.62,bm25,11.294188070297242
0.651,0.728,0.603,bm25,11.294188070297242
0.778,0.819,0.729,bm25,11.294188070297242
0.74,0.785,0.796,bm25,11.294188070297242
0.762,0.763,0.673,bm25,11.294188070297242
0.937,0.712,0.845,hibrido,7.3979967594146725
0.889,0.785,0.77,hibrido,7.3979967594146725
0.91,0.889,0.881,hibrido,7.3979967594146725
0.81,0.809,0.729,hibrido,7.3979967594146725
0.869,0.707,0.768,hibrido,7.3979967594146725
